Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
200336,-16.25,13.8125,-10.125,-0.2514648,-0.04394531,1.236328,0.003417969,0.0625,-0.2573242
200338,-9.875,7.4375,-6.625,-0.2866211,-0.02880859,1.166992,0.003417969,0.0625,-0.2602539
200339,-3.6875,0.75,-3.9375,-0.2280273,-0.02099609,1.120605,0.003417969,0.0625,-0.2602539
200341,0.9375,-0.3125,-2.0625,-0.1464844,0.01367188,1.089844,0.003417969,0.06689453,-0.2558594
200342,4.5625,-1.0625,-0.625,-0.1230469,0.02929688,1.047363,0.003417969,0.06396484,-0.2587891
200344,8.125,-1.4375,0.5625,-0.09960938,0.04052734,1.047363,0.003417969,0.06396484,-0.2587891
200345,11.3125,-1.4375,1.5,-0.1152344,0.06396484,1.036133,0.003417969,0.06396484,-0.2587891
200347,13.375,-2.5,2.375,-0.1035156,0.08349609,1.02832,0.003417969,0.0625,-0.2573242
200348,15.5625,-2.875,3.125,-0.1113281,0.09521484,1.024414,0.003417969,0.0625,-0.2573242
200350,17.375,-3.1875,3.5625,-0.1113281,0.1030273,1.024414,0.004882813,0.06396484,-0.2558594
200351,18.5,-4.3125,4.125,-0.1308594,0.1181641,1.024414,0.004882813,0.06152344,-0.2587891
200353,19.3125,-6.5625,4.4375,-0.1347656,0.1376953,1.032227,0.004882813,0.06152344,-0.2587891
200354,19.125,-8.25,5.0625,-0.1347656,0.1494141,1.036133,0.003417969,0.05859375,-0.2587891
200356,18.9375,-9.375,4.9375,-0.1191406,0.1611328,1.032227,0.002441406,0.0625,-0.2587891
200357,18.3125,-10.3125,5.1875,-0.1113281,0.1728516,1.020508,0.002441406,0.0625,-0.2587891
200359,17.25,-10.9375,4.8125,-0.1074219,0.1728516,1.020508,0.003417969,0.05859375,-0.2587891
200360,15.625,-11.9375,4.625,-0.1035156,0.199707,1.012695,0.002441406,0.06152344,-0.2587891
200362,13.75,-12.4375,3.9375,-0.09179688,0.215332,1.001465,0.002441406,0.06152344,-0.2587891
200363,11.3125,-12.375,3.3125,-0.07226563,0.230957,0.9858398,0.004882813,0.06005859,-0.2573242
200365,9.1875,-11.3125,2.25,-0.06054688,0.230957,0.9741211,0.002441406,0.06152344,-0.2558594
200366,6.875,-10.125,1.3125,-0.04882813,0.215332,0.9707031,0.002441406,0.06152344,-0.2558594
200368,4.9375,-8.9375,0.625,-0.04882813,0.2036133,0.9667969,0.0009765625,0.05712891,-0.2602539
200369,3.4375,-7.5,-0.0625,-0.04492188,0.1958008,0.9667969,0.002441406,0.05712891,-0.2573242
